season,week,mean_ci_width,mean_cv,n_contestants,ci_width_rank_pct
6,2,0.034264290824517075,0.1072610178495693,12,0.3641791044776119
6,3,0.042890399184415014,0.11106280827820905,10,0.5462686567164179
6,4,0.047115130257331904,0.11054277149227477,9,0.6358208955223881
6,5,0.05237055556292152,0.10998855099490379,8,0.7014925373134329
6,6,0.05691740664459218,0.10543259438682866,7,0.755223880597015
6,7,0.06470201773633243,0.10436637105543023,6,0.8119402985074626
6,8,0.07707031975558479,0.10512708396523582,5,0.8746268656716418
6,9,0.0920434581632787,0.09751572365119456,4,0.9402985074626866
6,10,0.11856938257641597,0.09420114499505079,3,0.9970149253731343
7,1,0.029665452734017814,0.10133259936782012,13,0.25671641791044775
7,2,0.03557262140290005,0.10141763430633684,11,0.4059701492537313
7,3,0.043711966377239855,0.10212813025237254,9,0.5582089552238806
7,4,0.04256646585636714,0.09943279371089453,9,0.5343283582089552
7,5,0.0469046289795728,0.09687885768696407,8,0.6238805970149254
7,6,0.054407334636049014,0.09675090458696345,7,0.7313432835820896
7,7,0.05926983412696512,0.09425837966648572,6,0.7701492537313432
7,8,0.0709131662846601,0.0938421471971779,5,0.8537313432835821
7,9,0.08694254418638513,0.09097600735752565,4,0.9223880597014925
7,10,0.11096222878975322,0.08659799672522929,3,0.9850746268656716
8,1,0.02792627703916162,0.0958153745581429,13,0.23582089552238805
8,2,0.030102287781162383,0.1014401907723098,13,0.2835820895522388
8,3,0.03378776760574598,0.10398756756237555,12,0.35522388059701493
8,4,0.03737174117972237,0.10560857582239652,11,0.4298507462686567
8,5,0.045004194050751206,0.10274043225283153,9,0.5970149253731343
8,6,0.04949131571372582,0.09984860099860786,8,0.6716417910447762
8,7,0.053394250667558374,0.09747544736960721,7,0.7104477611940299
8,8,0.05949231535586517,0.09299734738004767,6,0.7761194029850746
8,9,0.06763568851731187,0.09198887829091555,5,0.8298507462686567
8,10,0.08332274284810683,0.09085386162308817,4,0.9014925373134328
8,11,0.10886784809686444,0.08786935934244866,3,0.9791044776119403
9,1,0.025417198082188206,0.10346245302463498,16,0.22686567164179106
9,2,0.02995022758480931,0.10573093030108227,14,0.27761194029850744
9,3,0.03255218240922415,0.10612788151520751,13,0.33432835820895523
9,4,0.038501482731055185,0.10646537236372672,11,0.45671641791044776
9,5,0.04130650531094114,0.10473049422952496,10,0.5134328358208955
9,6,0.04454355616540489,0.10311102651036803,9,0.5880597014925373
9,7,0.053647196415229415,0.0995813631448649,7,0.7164179104477612
9,8,0.07140535244277499,0.09383402720904568,5,0.8567164179104477
9,9,0.08454130081670193,0.0893807703553144,4,0.9104477611940298
9,10,0.10843871126231486,0.08538162983544256,3,0.9731343283582089
10,1,0.0336037391155663,0.09384646076725366,11,0.3522388059701492
10,2,0.03499319751129823,0.09752654865723936,11,0.3850746268656716
10,3,0.03891311887579883,0.09878613446511948,10,0.46567164179104475
10,4,0.04384819336545398,0.09919375015095998,9,0.564179104477612
10,5,0.04881601420881775,0.09751847676173658,8,0.6537313432835821
10,6,0.053891120337858554,0.09590715362190314,7,0.7223880597014926
10,7,0.0604443804302039,0.09264798069798748,6,0.7880597014925373
10,8,0.07313056395613435,0.09184925342728303,5,0.8716417910447761
10,9,0.0872116710128603,0.0918036829003763,4,0.9283582089552239
10,10,0.11255418018277397,0.0869708460475798,3,0.991044776119403
