celebrity_name,ci_width_mean,ci_width_median,ci_width_std,cv_mean,cv_median,cv_std,season,n_obs
Andy Richter,0.010239624158212078,0.0102231385850363,0.002834409145648857,0.026944466416254257,0.0278769983958282,0.006108138929118786,34,9
Anna Delvey,0.00839373067214915,0.00839373067214915,0.0017647317881276886,0.03518270669139435,0.03518270669139435,0.007619764417496237,33,2
Anne Heche,0.0108623962842126,0.0099175035536474,0.002213500653063447,0.04397303404784282,0.04010644775795355,0.009450862949322974,29,4
Antonio Brown,0.039980483040940214,0.0401281379673606,0.007465815629054852,0.10897759066895694,0.1046673524704395,0.014853442876479106,22,9
Antonio Sabato Jr.,0.029292792812637698,0.0300406254326124,0.004781810453581917,0.11424409259748138,0.1172522120014906,0.013182062522030271,19,7
Apolo Anton Ohno,0.05822123102149244,0.0545613705299455,0.01762719456759268,0.12497286518290786,0.1253595504111575,0.022497188241672836,15,19
Ariana Madix,0.011685472622956765,0.0055564772061812,0.014143290404505364,0.021631303328937118,0.0152397492414141,0.0158440581749585,32,11
Arike Ogunbowale,0.02670410649899715,0.02670410649899715,0.0009989066544850538,0.09199083081326445,0.09199083081326445,0.00316095391542169,26,2
Ashley Hamiliton,0.0187649806870765,0.0187649806870765,,0.0978009120726538,0.0978009120726538,,9,1
Audrina Patridge,0.02769383288583865,0.027794854720880252,0.0030927083567443177,0.08900057538737217,0.08890342354036665,0.005780657051814193,11,6
Babyface,0.01912511161535595,0.0187144286004579,0.0026300540646398717,0.0800560006119627,0.07949052398660675,0.002891724282302901,23,4
Barbara Corcoran,0.0195713292454621,0.0195713292454621,0.002269972579250012,0.09481374171375376,0.09481374171375376,0.0007456265711911704,25,2
Baron Davis,0.0067467942239983,0.0067467942239983,0.0023202842790463305,0.0332553597196994,0.0332553597196994,0.004755887397957372,34,2
Barry Williams,0.007488512927735801,0.0070082358321692,0.002011181497563353,0.019908656050017636,0.0203923643773538,0.00454515219139048,32,8
Belinda Carlisle,0.01651696304578125,0.01651696304578125,0.0020613053503408833,0.08117522817083905,0.08117522817083905,0.00013332389452361523,8,2
Bethany Mota,0.0662501899602582,0.0640432236073047,0.018887953255914552,0.1061111050796335,0.1061407765163446,0.0075320590713734035,19,11
Betsey Johnson,0.0217374993712792,0.0219073655179269,0.0025798060059016126,0.0904663531295925,0.0894795651213509,0.004045790671202413,19,4
Bill Engvall,0.06222756224134196,0.0654818375564031,0.0177597569217245,0.10301680186206404,0.1037885193187924,0.006876864683839291,17,11
