season,n_contestants,spearman_rho,spearman_p,kendall_tau_b,kendall_p,rank_mae,rank_rmse,top1_hit,top3_overlap,top3_jaccard,top4_overlap,pairwise_accuracy,n_pairs,concordant_pairs,discordant_pairs,method_tag
15,13,-0.1414768482371839,0.6447736384408204,-0.10675210253672476,0.6211355279423958,5.076923076923077,5.870395085642742,0,0.14285714285714285,0.1111111111111111,0.25,0.44871794871794873,78,35.0,40,survival
16,12,0.20643837697087405,0.5197507165228195,0.12712834523274563,0.5754030229127536,4.166666666666667,4.932882862316247,0,0.3333333333333333,0.2857142857142857,0.42857142857142855,0.5606060606060606,66,37.0,26,survival
17,12,0.17796411807833973,0.5800164149739856,0.09534625892455922,0.6744240722352938,4.166666666666667,5.0,0,0.3333333333333333,0.2857142857142857,0.42857142857142855,0.5454545454545454,66,36.0,27,survival
18,12,-0.24603660590063087,0.4408022580638413,-0.11217603013123663,0.6232116743238449,5.333333333333333,5.552777082985894,0,0.0,0.0,0.14285714285714285,0.44696969696969696,66,29.5,33,survival
19,13,-0.039000997323968944,0.8993381724825569,-0.02668802563418119,0.901287773180033,5.153846153846154,5.811129904694161,0,0.16666666666666666,0.125,0.2857142857142857,0.48717948717948717,78,38.0,37,survival
20,12,0.1763737008548439,0.5834615738573031,0.1563263498701806,0.4880740931652481,4.166666666666667,4.864839839775475,0,0.3333333333333333,0.2857142857142857,0.42857142857142855,0.5757575757575758,66,38.0,26,survival
21,13,-0.24689896356279398,0.41609443160409576,-0.13730875909527243,0.5314360328741288,5.6923076923076925,6.038339048243189,0,0.0,0.0,0.125,0.4358974358974359,78,34.0,39,survival
22,12,0.4629235377448438,0.12964483827987344,0.3309652594769214,0.14439979221307142,3.6666666666666665,4.47213595499958,1,0.5,0.5,0.375,0.6590909090909091,66,43.5,20,survival
23,13,0.1813323592867087,0.5532645678646476,0.12093890545052473,0.5760028579667698,4.3076923076923075,5.188745216627709,0,0.3333333333333333,0.2857142857142857,0.42857142857142855,0.5576923076923077,78,43.5,31,survival
24,12,0.3809671938464628,0.22178379979504792,0.21885688981825283,0.3316850680568624,3.5833333333333335,4.330127018922194,1,0.6,0.6,0.42857142857142855,0.6060606060606061,66,40.0,24,survival
25,13,0.0027936884766729636,0.9927730935829235,0.05413319619607667,0.8033382543558498,5.076923076923077,5.629592142625227,0,0.16666666666666666,0.125,0.25,0.5256410256410257,78,41.0,33,survival
26,10,0.12506107989614448,0.7306676120453806,0.07352146220938077,0.7802877416781296,3.6,4.404543109109048,1,0.25,0.2222222222222222,0.4,0.5333333333333333,45,24.0,17,survival
27,13,-0.03911163867342149,0.8990539138875328,-0.027066598098038335,0.9009078718705941,5.461538461538462,6.082762530298219,0,0.125,0.1,0.2222222222222222,0.48717948717948717,78,38.0,36,survival
28,12,0.3779692786299547,0.22574496387611415,0.27242750174728897,0.23280433193453265,3.4166666666666665,4.368447474027052,1,0.5,0.5,0.42857142857142855,0.6287878787878788,66,41.5,21,survival
29,15,0.6516627685549871,0.008484877206231733,0.5251644902096135,0.00786611539726057,3.8,4.878524367060187,1,0.42857142857142855,0.42857142857142855,0.5,0.7523809523809524,105,79.0,22,survival
30,15,0.4896453271060096,0.06393537272162506,0.378489059622558,0.056395547257319996,4.933333333333334,5.597618541248888,1,0.25,0.2222222222222222,0.2222222222222222,0.680952380952381,105,71.5,29,survival
31,16,0.5983946097721146,0.014333586934879667,0.44189395817353094,0.020136751550346346,4.6875,5.7282196186948,1,0.25,0.2222222222222222,0.3333333333333333,0.7125,120,85.5,30,survival
